method,path,name,tags,classification
POST,/story-development/drafting/manuscript-documents/{document_id}/review,trigger_manuscript_review,story-development,dual
POST,/story-development/drafting/promote-draft,promote_draft_to_manuscript,story-development,dual
POST,/story-development/drafting/revision-suggestions,create_revision_suggestion,story-development,dual
POST,/story-development/flow/stages,create_flow_stage,story-development,dual
POST,/story-development/flow/stages/init,init_flow_stages,story-development,dual
POST,/story-development/flow/stages/reorder,reorder_flow_stages,story-development,dual
POST,/story-development/foundation,create_foundation,story-development,dual
POST,/story-development/planning/beat-plans,create_beat_plan,story-development,dual
POST,/story-development/planning/chapter-packets,create_chapter_packet,story-development,dual
POST,/story-development/planning/chapter-plans,create_chapter_plan,story-development,dual
POST,/story-development/planning/reorder,reorder_plan_objects,story-development,dual
POST,/story-development/planning/scene-plans,create_scene_plan,story-development,dual
POST,/story-development/planning/sequence-plans,create_sequence_plan,story-development,dual
POST,/story-development/relationships,create_relationship,story-development,dual
POST,/story-development/review/decisions,record_review_decision,story-development,dual
POST,/story-development/review/inspect-links,create_inspect_link,story-development,dual
POST,/story-development/storyboard/cards,create_storyboard_card,story-development,dual
POST,/story-development/world-bible,create_world_bible_entry,story-development,dual
POST,/v1/canon/annotations,create_annotation,canon-customization,canonical_v1
POST,/v1/canon/profiles,create_profile,canon-customization,canonical_v1
POST,/v1/canon/profiles/{profile_id}/packet-preview,packet_preview,canon-customization,canonical_v1
POST,/v1/jobs/create,create_job,jobs,canonical_v1
POST,/v1/jobs/{job_id}/retry,retry_job,jobs,canonical_v1
POST,/v1/manuscript-assist/runs,submit_assist,manuscript-assist,canonical_v1
POST,/v1/manuscript-assist/runs/{assist_id}/retry,retry_run,manuscript-assist,canonical_v1
POST,/v1/manuscript-assist/suggestions/{suggestion_id}/apply,apply_suggestion,manuscript-assist,canonical_v1
POST,/v1/manuscript-assist/suggestions/{suggestion_id}/archive,archive_suggestion,manuscript-assist,canonical_v1
POST,/v1/manuscript-assist/suggestions/{suggestion_id}/reject,reject_suggestion,manuscript-assist,canonical_v1
POST,/v1/mythos/entries,create_entry,mythos-library,canonical_v1
POST,/v1/mythos/materialize-extraction,materialize_extraction,mythos-library,canonical_v1
POST,/v1/patterns/entries,create_entry,pattern-library,canonical_v1
POST,/v1/patterns/materialize-extraction,materialize_extraction,pattern-library,canonical_v1
POST,/v1/role-model-checker/run,run_check,role-model-checker,canonical_v1
POST,/v1/role-model-checker/start,start_check,role-model-checker,canonical_v1
POST,/v1/role-model-checker/{run_id}/retry,retry_run,role-model-checker,canonical_v1
POST,/v1/story-development/arcs/candidates,create_arc_candidate,story-development,canonical_v1
POST,/v1/story-development/arcs/comparisons,compare_arc_candidates_endpoint,story-development,canonical_v1
POST,/v1/story-development/arcs/selections,select_arc_candidate_endpoint,story-development,canonical_v1
POST,/v1/story-development/arcs/stage-maps,create_arc_stage_map,story-development,canonical_v1
POST,/v1/story-development/braindump/sessions,create_brain_dump_session,story-development,canonical_v1
POST,/v1/story-development/braindump/sessions/{session_id}/organize,organize_brain_dump_session,story-development,canonical_v1
POST,/v1/story-development/brainstorm/items,create_brainstorm_item,story-development,canonical_v1
POST,/v1/story-development/brainstorm/items/cluster,cluster_brainstorm_items,story-development,canonical_v1
POST,/v1/story-development/brainstorm/items/promote,promote_brainstorm_item,story-development,canonical_v1
POST,/v1/story-development/branches,create_story_branch,story-development,canonical_v1
POST,/v1/story-development/branches/active,select_active_story_branch,story-development,canonical_v1
POST,/v1/story-development/branches/comparisons,create_branch_comparison,story-development,canonical_v1
POST,/v1/story-development/branches/merge-decisions,record_branch_merge_decision,story-development,canonical_v1
POST,/v1/story-development/characters,create_character,story-development,canonical_v1
POST,/v1/story-development/drafting/draft-artifacts,create_draft_artifact,story-development,canonical_v1
POST,/v1/story-development/drafting/draft-artifacts/alternate-variant,create_alternate_variant,story-development,canonical_v1
POST,/v1/story-development/drafting/draft-artifacts/continue,continue_draft_artifact,story-development,canonical_v1
POST,/v1/story-development/drafting/manuscript-documents,create_manuscript_document,story-development,canonical_v1
POST,/v1/story-development/drafting/manuscript-documents/{document_id}/review,trigger_manuscript_review,story-development,canonical_v1
POST,/v1/story-development/drafting/promote-draft,promote_draft_to_manuscript,story-development,canonical_v1
POST,/v1/story-development/drafting/revision-suggestions,create_revision_suggestion,story-development,canonical_v1
POST,/v1/story-development/flow/stages,create_flow_stage,story-development,canonical_v1
POST,/v1/story-development/flow/stages/init,init_flow_stages,story-development,canonical_v1
POST,/v1/story-development/flow/stages/reorder,reorder_flow_stages,story-development,canonical_v1
POST,/v1/story-development/foundation,create_foundation,story-development,canonical_v1
POST,/v1/story-development/planning/beat-plans,create_beat_plan,story-development,canonical_v1
POST,/v1/story-development/planning/chapter-packets,create_chapter_packet,story-development,canonical_v1
POST,/v1/story-development/planning/chapter-plans,create_chapter_plan,story-development,canonical_v1
POST,/v1/story-development/planning/reorder,reorder_plan_objects,story-development,canonical_v1
POST,/v1/story-development/planning/scene-plans,create_scene_plan,story-development,canonical_v1
POST,/v1/story-development/planning/sequence-plans,create_sequence_plan,story-development,canonical_v1
POST,/v1/story-development/relationships,create_relationship,story-development,canonical_v1
POST,/v1/story-development/review/decisions,record_review_decision,story-development,canonical_v1
POST,/v1/story-development/review/inspect-links,create_inspect_link,story-development,canonical_v1
POST,/v1/story-development/storyboard/cards,create_storyboard_card,story-development,canonical_v1
POST,/v1/story-development/world-bible,create_world_bible_entry,story-development,canonical_v1
POST,/v1/story-generation/fork-preview,preview_fork,story-generation,canonical_v1
POST,/v1/story-generation/fork-project,create_fork_project,story-generation,canonical_v1
POST,/v1/story-generation/runs,create_generation_run,story-generation,canonical_v1
POST,/v1/story-generation/runs/{generation_id}/retry,retry_generation_run,story-generation,canonical_v1
PUT,/story-development/storyboard/cards/{card_id},upsert_storyboard_card,story-development,dual
PUT,/story-development/storyboard/cards/{column_id}/reindex,reindex_storyboard_column,story-development,dual
PUT,/v1/story-development/storyboard/cards/{card_id},upsert_storyboard_card,story-development,canonical_v1
PUT,/v1/story-development/storyboard/cards/{column_id}/reindex,reindex_storyboard_column,story-development,canonical_v1
